Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000379363610146216,-9.80834573543772E-08,0.0285589102199581,0,0,0,0.164836164330788,3.62542937440064E-05,-1.19220738115126E-08,1.85576242488928E-07,3.7316461174133E-05,4.19871540648818E-09,2.84834005178802E-05,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/base_link.STL,,Grasper_v4-1-baseplate-2;Grasper_v4-1-link1-2/XL-430-1;Grasper_v4-1-link1-1/XL-430-1;Grasper_v4-1-link1-3/XL-430-1;Grasper_v4-1-link1-1/Finger v4-1-pulley-1;Grasper_v4-1-link1-2/Finger v4-1-pulley-1;Grasper_v4-1-link1-3/Finger v4-1-pulley-1;Grasper_v4-1-link1-2/Finger v4-1-palm-1;Grasper_v4-1-link1-1/Finger v4-1-palm-1;Grasper_v4-1-link1-3/Finger v4-1-palm-1;Grasper_v4-1-link1-3/MR63-2RS-2;Grasper_v4-1-link1-1/MR63-2RS-1;Grasper_v4-1-link1-2/MR63-2RS-2;Grasper_v4-1-link1-1/MR63-2RS-2;Grasper_v4-1-link1-3/MR63-2RS-1;Grasper_v4-1-link1-2/MR63-2RS-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1_1,-0.0178020744331292,0.00153243563396176,0.00808306717628198,0,0,0,0.00568272124105257,1.97743288940733E-07,-2.92898105619454E-09,8.74914244789485E-10,5.97352168646446E-07,-1.43926468989161E-09,5.66899826188981E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_1.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_1.STL,,Grasper_v4-1-link2-2/Finger v4-1-prox-1;Grasper_v4-1-link2-2/MR63-2RS-1;Grasper_v4-1-link2-2/MR63-2RS-2,Coordinate System11,,j1_1,revolute,-0.014955,0.0365,0.0555,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
l1_2,-0.0178181674163244,0.00151288366539522,0.0079474068321109,0,0,0,0.00565530375562818,1.96509892883792E-07,-2.81403912327179E-09,-7.99488162326292E-10,5.95138326649026E-07,7.70916487664494E-10,5.6511875246953E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_2.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_2.STL,,Grasper_v4-1-link3-4/Finger v4-1-mid-1;Grasper_v4-1-link3-4/MR63-2RS-1;Grasper_v4-1-link3-4/MR63-2RS-2,Coordinate System12,,j1_2,revolute,-0.03,0,0,0,0,0,l1_1,0,0,1,0,0,0,0,,,,,,,,
l1_3,-0.0126473036433836,0.000121024348470861,0.00789927501486765,0,0,0,0.0035628054826497,1.00770609984124E-07,-2.39251927631064E-09,-1.08678505316323E-09,3.00204388344335E-07,5.62641371962788E-11,2.6966365290098E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_3.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l1_3.STL,,Grasper_v4-1-link4-4/Finger v4-1-dist-1,Coordinate System13,,j1_3,revolute,-0.03,0,0,0,0,0,l1_2,0,0,1,0,0,0,0,,,,,,,,
l2_1,-0.0178020744331293,0.0015324356339618,-0.00791693282371803,0,0,0,0.00568272124105258,1.97743288940733E-07,-2.9289810561946E-09,8.74914244788502E-10,5.97352168646446E-07,-1.43926468989151E-09,5.66899826188981E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_1.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_1.STL,,Grasper_v4-1-link2-1/Finger v4-1-prox-1;Grasper_v4-1-link2-1/MR63-2RS-1;Grasper_v4-1-link2-1/MR63-2RS-2,Coordinate System14,,j2_1,revolute,0.014955,0.008,0.0555,1.5708,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
l2_2,-0.0178181674163244,0.00151288366539518,-0.0080525931678891,0,0,0,0.00565530375562816,1.96509892883791E-07,-2.81403912327173E-09,-7.9948816232629E-10,5.95138326649025E-07,7.70916487664407E-10,5.65118752469529E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_2.STL,,Grasper_v4-1-link3-1/MR63-2RS-2;Grasper_v4-1-link3-1/Finger v4-1-mid-1;Grasper_v4-1-link3-1/MR63-2RS-1,Coordinate System15,,j2_2,revolute,-0.03,0,0,0,0,0,l2_1,0,0,1,0,0,0,0,,,,,,,,
l2_3,-0.0126473036433836,0.000121024348470833,-0.00810072498513235,0,0,0,0.0035628054826497,1.00770609984124E-07,-2.39251927631045E-09,-1.08678505316316E-09,3.00204388344335E-07,5.62641371962523E-11,2.6966365290098E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_3.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l2_3.STL,,Grasper_v4-1-link4-1/Finger v4-1-dist-1,Coordinate System16,,j2_3,revolute,-0.03,0,0,0,0,0,l2_2,0,0,1,0,0,0,0,,,,,,,,
l3_1,-0.0178020744331292,0.00153243563396185,0.00808306717628197,0,0,0,0.00568272124105257,1.97743288940733E-07,-2.92898105619437E-09,8.74914244789355E-10,5.97352168646445E-07,-1.43926468989158E-09,5.66899826188981E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_1.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_1.STL,,Grasper_v4-1-link2-4/Finger v4-1-prox-1;Grasper_v4-1-link2-4/MR63-2RS-1;Grasper_v4-1-link2-4/MR63-2RS-2,Coordinate System17,,j3_1,revolute,-0.014955,-0.0205,0.0555,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
l3_2,-0.0178181674163244,0.00151288366539516,0.00794740683211093,0,0,0,0.00565530375562818,1.96509892883792E-07,-2.81403912327189E-09,-7.99488162326265E-10,5.95138326649027E-07,7.70916487664312E-10,5.65118752469531E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_2.STL,,Grasper_v4-1-link3-2/MR63-2RS-2;Grasper_v4-1-link3-2/Finger v4-1-mid-1;Grasper_v4-1-link3-2/MR63-2RS-1,Coordinate System18,,j3_2,revolute,-0.03,0,0,0,0,0,l3_1,0,0,1,0,0,0,0,,,,,,,,
l3_3,-0.0126473036433836,0.000121024348470881,0.00789927501486764,0,0,0,0.0035628054826497,1.00770609984124E-07,-2.39251927631023E-09,-1.08678505316318E-09,3.00204388344335E-07,5.62641371961687E-11,2.6966365290098E-07,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_3.STL,1,1,1,1,0,0,0,0,0,0,package://Grasper_v4-1_2/meshes/l3_3.STL,,Grasper_v4-1-link4-2/Finger v4-1-dist-1,Coordinate System19,,j3_3,revolute,-0.03,0,0,0,0,0,l3_2,0,0,1,0,0,0,0,,,,,,,,
