Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0129034933866917,3.57061446520855E-05,0.00467474199683585,0,0,0,0.151146292228162,0.000133620869211754,-5.76572596692097E-06,2.13665094576789E-06,0.000106814894452109,1.10227782562003E-05,0.000213847982310223,0,0,0,0,0,0,package://aero-assem5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/base_link.STL,,aero_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_0,-0.0157616290640478,-0.00358567934470254,0.0175768722174495,0,0,0,0.00689729871001111,9.93929883019657E-07,-8.48000942855032E-09,7.34706048049118E-08,1.0093015687572E-06,7.4989599004493E-08,2.53982451610596E-07,0,0,0,0,0,0,package://aero-assem5/meshes/1_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/1_0.STL,,aero1_1-1,Origin_1_0,Axis_1_0,1_0,revolute,-0.0393394245857936,-0.0461720754822862,0.00042381652828347,1.5707963267949,0,0,base_link,0.992090032889228,0.0695065968721907,0.104528463267656,0,0,0,0,,,,,,,,
1_1,-0.0122194929152307,-0.00123487988101129,0.00755793496780745,0,0,0,0.00264501040027889,1.71028228994908E-07,-2.02322486778444E-09,8.46136786505571E-09,1.89520967877256E-07,7.42554263795807E-09,8.65189151018051E-08,0,0,0,0,0,0,package://aero-assem5/meshes/1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/1_1.STL,,aero1_2-1,Origin_1_1,Axis_1_1,1_1,revolute,-0.00709075442937419,-0.0019557188360947,0.0424790439916632,0.0177221401243358,0.00122493693289513,0.00187801953080774,1_0,0.992090032889226,0.0695065968722168,0.104528463267655,0,0,0,0,,,,,,,,
1_2,-0.0121583067482402,-0.00313910644085766,0.00955759562092692,0,0,0,0.00286881487991541,1.32361641015811E-07,2.28012126472609E-09,9.37184656046779E-09,1.33730670591471E-07,-2.17197616580308E-08,5.90101156128506E-08,0,0,0,0,0,0,package://aero-assem5/meshes/1_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/1_2.STL,,aero1_3-1,Origin_1_2,Axis_1_2,1_2,revolute,-0.00233190216111688,-0.000154305152993049,0.0218757103714512,-0.0204544025544474,-0.00145510190940952,-0.00214047041120031,1_1,0.992090032889226,0.0695065968722166,0.104528463267655,0,0,0,0,,,,,,,,
2_0,-0.0122288211947646,-0.00290388977314435,0.0185307638816849,0,0,0,0.00689730389934046,9.99277877003023E-07,-4.05769671660245E-09,3.7020802046095E-08,1.01013924172246E-06,7.12946444790309E-08,2.47797241465257E-07,0,0,0,0,0,0,package://aero-assem5/meshes/2_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/2_0.STL,,aero2_1-1,Origin_2_0,Axis_2_0,2_0,revolute,-0.0193223929014127,-0.0583152412631974,0.00230232315195157,1.5707963267949,0,0,base_link,0.998021196624068,0.0348516681551969,0.0523359562429428,0,0,0,0,,,,,,,,
2_1,-0.00991757565277805,-0.000724397834917843,0.00829101833821569,0,0,0,0.00264500658338707,1.7158875820288E-07,-9.89295580622701E-10,4.26227793211356E-09,1.89665531460943E-07,6.99694367438669E-09,8.58131570590367E-08,0,0,0,0,0,0,package://aero-assem5/meshes/2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/2_1.STL,,aero2_2-1,Origin_2_1,Axis_2_1,2_1,revolute,-0.00414123981373518,-0.00160087000280672,0.042839181907112,0.0178272171696774,0.000614164494727223,0.000940338465431739,2_0,0.998021196624067,0.0348516681552232,0.0523359562429428,0,0,0,0,,,,,,,,
2_2,-0.00974512906247734,-0.00262341355008144,0.0102955317494016,0,0,0,0.00286880950161031,1.33220702261439E-07,1.17527843335942E-09,4.71709452168647E-09,1.3348796223502E-07,-2.22629778919122E-08,5.83937418175888E-08,0,0,0,0,0,0,package://aero-assem5/meshes/2_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/2_2.STL,,aero2_3-1,Origin_2_2,Axis_2_2,2_2,revolute,-0.00146140921071287,-4.19804767674303E-05,0.0219537268112065,-0.0205778552784913,-0.000729660017095717,-0.00107164784979129,2_1,0.998021196624067,0.0348516681552232,0.0523359562429418,0,0,0,0,,,,,,,,
3_0,-0.0075100237362195,-0.00247525170776625,0.0191503075229903,0,0,0,0.00689714767089962,1.00105338840978E-06,-7.7473380687206E-12,4.88744565037112E-12,1.01039832785848E-06,7.00591126839393E-08,2.4570762037068E-07,0,0,0,0,0,0,package://aero-assem5/meshes/3_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/3_0.STL,,aero3_1-1,Origin_3_0,Axis_3_0,3_0,revolute,0,-0.0582998130982996,0.00308192985448157,1.5707963267949,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
3_1,-0.00741000628846612,-0.00037782763632879,0.00879971036807659,0,0,0,0.00264500553861606,1.71777404380458E-07,2.35375039269279E-12,-1.64120501562935E-12,1.89712763521871E-07,6.85320734566975E-09,8.55770181992596E-08,0,0,0,0,0,0,package://aero-assem5/meshes/3_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/3_1.STL,,aero3_2-1,Origin_3_1,Axis_3_1,3_1,revolute,0,-0.00145536761083149,0.0429999999999992,0.0178622724594615,0,0,3_0,1,0,0,0,0,0,0,,,,,,,,
3_2,-0.00742804405149061,-0.00229159725120851,0.0107938140517291,0,0,0,0.00286879892004499,1.33508466307182E-07,7.00832418399926E-12,8.05039493669003E-13,1.33445664017383E-07,-2.23759475736902E-08,5.81464502552329E-08,0,0,0,0,0,0,package://aero-assem5/meshes/3_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aero-assem5/meshes/3_2.STL,,aero2_3-2,Origin_3_2,Axis_3_2,3_2,revolute,-8.21595911988713E-05,0,0.0220001543252506,-0.0206190444000853,0,0,3_1,1,0,0,0,0,0,0,,,,,,,,
