Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0383222424984978,-0.121376608430465,0.190981647485694,0,0,0,0.218111998705072,0.000108065222148741,9.56973104424154E-07,5.25326381578732E-06,0.000185355514099816,7.64156602589412E-06,0.000133964637765315,0,0,0,0,0,0,package://amazing2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://amazing2/meshes/base_link.STL,,motor-3;Amazing Hand Parts - Finger_Frame-2.step-2;Amazing Hand Parts - Finger_Frame-1.step-2;motor-4;Amazing Hand Parts - R-Wrist_Interface.step-1;Amazing Hand Parts - R-Palm_Shell.step-1;Amazing Hand Parts - Finger_Frame-1.step-4;motor-8;motor-7;Amazing Hand Parts - R-Hand_Plate.step-1;Amazing Hand Parts - R-Top_Shell.step-1;motor-6;motor-5;Amazing Hand Parts - Finger_Frame-2.step-3;Amazing Hand Parts - Finger_Frame-1.step-3;motor-10;Amazing Hand Parts - Finger_Frame-1.step-5;Amazing Hand Parts - Finger_Frame-2.step-4;motor-9;Amazing Hand Parts - Finger_Frame-2.step-5,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
f1_0,-1.04083408558608E-15,1.11022302462516E-16,0.010786749309114,0,0,0,0.00126219403334781,4.18539334129258E-08,-1.07533479631894E-23,1.56128839255985E-23,4.46269490497217E-08,-1.11409840697788E-22,1.63785401076913E-08,0,0,0,0,0,0,package://amazing2/meshes/f1_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f1_0.STL,,Amazing Hand Parts - Gimbal.step-5,Origin_f1_0,Axis_f1_0,f1_0,revolute,0.077981,-0.11106,0.22998,-1.5708,-0.23562,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
f1_1,0.000282991925153769,0.0280828491289625,0.00432477516439178,0,0,0,0.0146864301344258,2.8719135625795E-06,-1.73181003070659E-11,3.05871640767606E-11,1.03931738465474E-06,-2.37456883386106E-08,3.00198417905992E-06,0,0,0,0,0,0,package://amazing2/meshes/f1_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f1_1.STL,,Amazing Hand Parts - Proximal.step-5;Amazing Hand Parts - Proximal_Shell.step-1,Origin_f1_1,Axis_f1_1,f1_1,revolute,0,0,0.00900000000000001,0,0,-3.14159265358979,f1_0,1,0,0,0,0,0,0,,,,,,,,
f1_2,0.00025101276038339,0.0188014793119722,0.00174551573107469,0,0,0,0.00985973187077571,1.32328001235084E-06,-1.59074225368981E-11,6.85174722909366E-12,4.59848322573515E-07,1.41605710463867E-07,1.33350415033556E-06,0,0,0,0,0,0,package://amazing2/meshes/f1_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f1_2.STL,,Amazing Hand Parts - Distal.step-5;Amazing Hand Parts - Distal_Shell.step-1,Origin_f1_2,Axis_f1_2,f1_2,revolute,0,0.0519999999999994,0,0.0411033834793374,0,0,f1_1,1,0,0,0,0,0,0,,,,,,,,
f2_0,1.1518563880486E-15,1.66533453693773E-16,0.0107867493091146,0,0,0,0.00126219403334781,4.18539334129258E-08,-1.28212994945719E-23,3.055510253948E-23,4.46269490497218E-08,-1.45212754719099E-22,1.63785401076912E-08,0,0,0,0,0,0,package://amazing2/meshes/f2_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f2_0.STL,,Amazing Hand Parts - Gimbal.step-2,Origin_f2_0,Axis_f2_0,f2_0,revolute,0.045781,-0.11106,0.241,-1.5708,-0.10472,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
f2_1,0.000282991054678695,0.0280828463380384,0.0043247759064919,0,0,0,0.014686435897259,2.87191480149181E-06,-1.74284797198197E-11,3.06370604398288E-11,1.0393177115994E-06,-2.37455484347768E-08,3.00198521038707E-06,0,0,0,0,0,0,package://amazing2/meshes/f2_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f2_1.STL,,Amazing Hand Parts - Proximal.step-2;Amazing Hand Parts - Proximal_Shell.step-4,Origin_f2_1,Axis_f2_1,f2_1,revolute,0,0,0.00900000000000001,0,0,3.14159265358979,f2_0,1,0,0,0,0,0,0,,,,,,,,
f2_2,0.000250737248170072,0.0188012896085922,0.00174558095019568,0,0,0,0.00985928253151739,1.32327491679835E-06,-9.62498151314611E-12,4.13956701577724E-12,4.5982406106813E-07,1.4160388080634E-07,1.33348191692772E-06,0,0,0,0,0,0,package://amazing2/meshes/f2_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f2_2.STL,,Amazing Hand Parts - Distal.step-2;Amazing Hand Parts - Distal_Shell.step-2,Origin_f2_2,Axis_f2_2,f2_2,revolute,0,0.0519999999999889,0,0.0411033834793374,0,0,f2_1,1,0,0,0,0,0,0,,,,,,,,
f3_0,5.20417042793042E-18,-2.77555756156289E-17,0.0107867493091146,0,0,0,0.0012621940333478,4.18539334129258E-08,-9.84826348297746E-24,7.72374622283135E-24,4.46269490497217E-08,-7.81658371504551E-23,1.63785401076913E-08,0,0,0,0,0,0,package://amazing2/meshes/f3_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f3_0.STL,,Amazing Hand Parts - Gimbal.step-3,Origin_f3_0,Axis_f3_0,f3_0,revolute,0.012981,-0.11106,0.24704,-1.5708,0,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
f3_1,0.000282998622789139,0.0280828428010496,0.00432477713972666,0,0,0,0.0146864314859808,2.87191486415596E-06,-1.59726594776692E-11,3.03054392314201E-11,1.03931795932275E-06,-2.37451779920869E-08,3.00198541395905E-06,0,0,0,0,0,0,package://amazing2/meshes/f3_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f3_1.STL,,Amazing Hand Parts - Proximal.step-3;Amazing Hand Parts - Proximal_Shell.step-3,Origin_f3_1,Axis_f3_1,f3_1,revolute,0,0,0.00900000000000026,0,0,3.14159265358979,f3_0,1,0,0,0,0,0,0,,,,,,,,
f3_2,0.000250726043844691,0.0188011751413729,0.00174561586236921,0,0,0,0.00985922167696453,1.32327401643037E-06,-1.00922907323032E-11,5.21085468855013E-12,4.59823786559468E-07,1.41604545776127E-07,1.33347750011615E-06,0,0,0,0,0,0,package://amazing2/meshes/f3_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://amazing2/meshes/f3_2.STL,,Amazing Hand Parts - Distal.step-3;Amazing Hand Parts - Distal_Shell.step-4,Origin_f3_2,Axis_f3_2,f3_2,revolute,0,0.0519999999999999,0,0.0411033834793374,0,0,f3_1,1,0,0,0,0,0,0,,,,,,,,
