Part Name,Quantity,Material,Description
"Fully 3D printed forearm (Bulk, Split, Inserts, Shells)",1,MJF,Complete forearm assembly
Fully 3D printed hand,1,MJF,Complete hand assembly
ES3301 micro servo,16,N/A,Slim micro servos for fingers and thumb
Feetech SCS2332 micro servo,2,N/A,Wrist flexion/extension servos
Feetech SCS15 servo,1,N/A,Optional axial wrist rotation servo
2mm diameter steel pins,58,N/A,Five lengths for finger joints and wrist pins
M2 screws and washers,5,N/A,Assembly fasteners
"M2 brass threaded inserts, 4mm long",5,N/A,Finger tendon attachment
Sufix 832 SuperBraid,1,N/A,"Finger tendons, 5 m, 80 lbs"
0.8mm kite line,1,N/A,Finger ligaments and wrist tendons
Ball Bearings 6103,50,N/A,Finger joints
Ball Bearings 263 or 262.5,6,N/A,Wrist assembly
Ball Bearings 15214,4,N/A,Wrist assembly
Ball Bearings 384,6,N/A,Wrist assembly
M3 × 70mm caphead bolt,2,N/A,Structural fastener (1 cut to 60mm)
