Item,Quantity,Material,Description
i2_CoverFingerV3,1,MJF,CoverFinger
i2_FingersMoldX5V3,1,MJF,FingersMold
i2_FingersTipX5V2,1,MJF,FingersTip
i2_FingersX5V1,1,MJF,Fingers
i2_HandCoverV1,1,MJF,HandCover
i2_PalmCoverV2,1,MJF,PalmCover
i2_PulleyX5V1,1,MJF,Pulley
i2_WristGearV1,1,MJF,WristGear
i2_WristLargeV2,1,MJF,WristLarge
countersunk head screws M3 x 16mm,25,N/A,Screw
countersunk head screws M3 x 4mm,5,N/A,Screw
countersunk head screws M3 x 12mm,1,N/A,Screw
flat head screws M1.5 x 4mm,5,N/A,Screw
expansion springs 3/16?x1-3/4 (4.8mm x 44.5mm),5,N/A,Spring
servo JX-6225MG 300 degree,6,N/A,Servo
