Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0395854733858584,-0.118734681059833,0.0917259298234958,0,0,0,0.204557355553323,0.000219269089197566,-1.93109920935303E-07,3.18683480919272E-06,0.000343155840486432,-2.72910489448563E-06,0.000133667538053643,0,0,0,0,0,0,package://imoov2/meshes/base_link.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/base_link.STL,,i2_HandCoverV2-1;i2_WristLargeV2-1;Body3-1;Imported1-1;i2_PalmCoverV2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_0,-0.00129794172022103,-0.0194981145646031,-0.000307915762879418,0,0,0,0.0108672032176464,1.67634476522624E-06,-1.9013537682748E-09,1.32029466416989E-10,5.50331396997881E-07,4.4396569847956E-09,1.70616817369079E-06,0,0,0,0,0,0,package://imoov2/meshes/thumb_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/thumb_0.STL,,Imported67-1,Origin_thumb_0,Axis_thumb_0,thumb_0,revolute,0.087807,-0.1227,0.11053,0.65192,-0.75405,1.3805,base_link,1,0.00021089,0.0002512,0,0,0,0,,,,,,,,
thumb_1,-0.00147494264121832,0.0028914317565617,-0.0147218282413791,0,0,0,0.00893185250619734,5.32169072403586E-07,4.57249291611598E-11,-5.52103680968188E-10,5.39789127998279E-07,1.55587929735374E-08,4.03024454348859E-07,0,0,0,0,0,0,package://imoov2/meshes/thumb_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/thumb_1.STL,,Imported5-1;Imported6-1,Origin_thumb_1,Axis_thumb_1,thumb_1,revolute,0,-0.034987,-0.001007,-1.677,-0.0002512,0.00021089,thumb_0,1,0,0,0,0,0,0,,,,,,,,
finger_1_0,0.0134847648542176,-0.0186688310834937,-0.000374802486355533,0,0,0,0.0101380943278621,1.44251998590902E-06,1.77591109962472E-09,1.72572645168603E-10,4.85901873489349E-07,2.36906372815661E-08,1.45287361544575E-06,0,0,0,0,0,0,package://imoov2/meshes/finger_1_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_1_0.STL,,Imported4-1,Origin_finger_1_0,Axis_finger_1_0,finger_1_0,revolute,0.057447,-0.1219,0.036823,1.542,-0.074329,0.00032029,base_link,1,6.3693E-05,0.00032128,0,0,0,0,,,,,,,,
finger_1_1,-0.010945741497989,0.013482127139823,-0.000930546005066937,0,0,0,0.0050878040303955,4.89021522080569E-07,-1.25166756306724E-11,-1.17123551291102E-10,1.81767754376907E-07,-6.00946501598828E-09,4.99464730105019E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_1_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_1_1.STL,,Imported7-1,Origin_finger_1_1,Axis_finger_1_1,finger_1_1,revolute,0.00234133192051551,-0.0349868831587002,-0.00100613555582905,0.0119228680312218,0.000321432919110681,-3.14152666155475,finger_1_0,0.999999999997345,0,0,0,0,0,0,,,,,,,,
finger_1_2,0.0109946674663366,0.000257537373214961,0.0121241444712283,0,0,0,0.00396315026245157,1.51030086823453E-07,5.11388519343536E-11,2.75007688813601E-10,1.53405522987401E-07,-1.4334812178304E-08,1.09406702991618E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_1_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_1_2.STL,,Imported10-1;Imported2-1,Origin_finger_1_2,Axis_finger_1_2,finger_1_2,revolute,0.000340950465999169,0.0249788766107058,-0.00101704657849791,1.63667445305117,-0.00018735510101414,3.14159047757948,finger_1_1,0.999999982415328,-0.000187120100612656,1.24664625946811E-05,0,0,0,0,,,,,,,,
finger_2_0,0.0097363771795082,-0.0186690698289165,-0.00037600677042976,0,0,0,0.0101380943278622,1.44251998590902E-06,1.77591109962435E-09,1.72572645168633E-10,4.8590187348935E-07,2.36906372815661E-08,1.45287361544574E-06,0,0,0,0,0,0,package://imoov2/meshes/finger_2_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_2_0.STL,,Imported4-4,Origin_finger_2_0,Axis_finger_2_0,finger_2_0,revolute,0.035893,-0.1219,0.028431,1.542,7.2612E-05,0.00032185,base_link,1,6.3693E-05,0.00032128,0,0,0,0,,,,,,,,
finger_2_1,-0.0079976781802883,0.01348211957083,-0.000930565040464515,0,0,0,0.00508780403039549,4.89021522656175E-07,-1.24713692007104E-11,-1.17148500792812E-10,1.81767754374417E-07,-6.00946505822133E-09,4.99464729531897E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_2_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_2_1.STL,,Imported7-4,Origin_finger_2_1,Axis_finger_2_1,finger_2_1,revolute,0.0015411,-0.034987,-0.0010064,0.011923,0.00032388,-3.1415,finger_2_0,1,0,0,0,0,0,0,,,,,,,,
finger_2_2,0.00770581433811263,0.00025815127895118,0.0121240386103014,0,0,0,0.00396315026245157,1.51030091469933E-07,5.10186588229319E-11,2.74654543528698E-10,1.5340552301206E-07,-1.43348125934478E-08,1.09406698320478E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_2_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_2_2.STL,,Imported10-4;Imported2-4,Origin_finger_2_2,Axis_finger_2_2,finger_2_2,revolute,0,0.024979,-0.001017,1.6347,-0.00018457,3.1416,finger_2_1,1,-0.00018732,0,0,0,0,0,,,,,,,,
finger_3_0,0.00959559818055215,-0.0186690787955295,-0.000376051999984778,0,0,0,0.0101380943278621,1.44251998590902E-06,1.77591109962488E-09,1.72572645168597E-10,4.8590187348935E-07,2.36906372815661E-08,1.45287361544575E-06,0,0,0,0,0,0,package://imoov2/meshes/finger_3_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_3_0.STL,,Imported4-2,Origin_finger_3_0,Axis_finger_3_0,finger_3_0,revolute,0.0098609,-0.1219,0.0412,1.5421,0.085236,0.00032597,base_link,1,6.3693E-05,0.00032128,0,0,0,0,,,,,,,,
finger_3_1,-0.00939540219882894,0.0134821215208011,-0.000930596259947458,0,0,0,0.0050878040303955,4.89021523346232E-07,-1.24170662867753E-11,-1.17178404499171E-10,1.81767754371446E-07,-6.00946510869746E-09,4.99464728844815E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_3_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_3_1.STL,,Imported7-2,Origin_finger_3_1,Axis_finger_3_1,finger_3_1,revolute,0,-0.0349870321222199,-0.00100688696036794,0.0119227525352082,0.000326813692680966,-3.14152681640909,finger_3_0,0.999999999982393,0,0,0,0,0,0,,,,,,,,
finger_3_2,0.00910341944746399,0.000257891262617507,0.0121238414578733,0,0,0,0.00396315026245157,1.51030086823452E-07,5.1138851934427E-11,2.75007688813513E-10,1.534055229874E-07,-1.43348121783041E-08,1.09406702991617E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_3_2.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_3_2.STL,,Imported10-2;Imported2-2,Origin_finger_3_2,Axis_finger_3_2,finger_3_2,revolute,0,0.0249788773938257,-0.00101704663947298,1.63609777029607,-0.000181976455303482,3.141590804723,finger_3_1,0.999999982415328,-0.000187120100606966,1.24664625944723E-05,0,0,0,0,,,,,,,,
finger_4_0,-0.00919582247553968,-0.0186702756743104,-0.000382089318051143,0,0,0,0.0101380943278621,1.44251998590902E-06,1.7759110996246E-09,1.72572645168487E-10,4.85901873489349E-07,2.36906372815662E-08,1.45287361544574E-06,0,0,0,0,0,0,package://imoov2/meshes/finger_4_0.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_4_0.STL,,Imported4-3,Origin_finger_4_0,Axis_finger_4_0,finger_4_0,revolute,0.00443044947401956,-0.121904695293454,0.0553473193876343,1.54207831883503,0.163939712584696,0.000325720754750775,base_link,0.999999946361018,6.36928276249997E-05,0.000321280538233148,0,0,0,0,,,,,,,,
finger_4_1,0.00758856590870088,0.013482085164998,-0.000930527872477854,0,0,0,0.0050878040303955,4.89021522539462E-07,-1.24805551632205E-11,-1.1714344223451E-10,1.81767754374921E-07,-6.00946504966757E-09,4.9946472964811E-07,0,0,0,0,0,0,package://imoov2/meshes/finger_4_1.STL,1,1,1,0.85,0,0,0,0,0,0,package://imoov2/meshes/finger_4_1.STL,,Imported7-3,Origin_finger_4_1,Axis_finger_4_1,finger_4_1,revolute,-0.00180490023484567,-0.0349871472439644,-0.00100746765959903,0.0119228680661924,0.000323384102151108,-3.14152671770799,finger_4_0,0.999999999995272,0,0,0,0,0,0,,,,,,,,
