Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.047217751225027,0.0159256893392409,0.111037419796179,0,0,0,0.00737492988596595,5.53047736192483E-07,2.65591897266381E-08,-1.16663925734852E-07,4.68766896032386E-07,-6.10307760730535E-08,6.66264715929567E-07,0,0,0,0,0,0,package://nanohand/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/base_link.STL,,7_Inner_Palm2-1;7_Inner_Palm3-1;7_Inner_Palm-1;6_Palm_ADD1-1;motor-1;7_Inner_Palm_ADD1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb1,1.38777878078145E-17,-0.00566892030113506,-0.00555992843734113,0,0,0,0.00737492988596595,7.54509795926667E-07,-1.85288457211878E-22,-3.97046694025453E-23,4.82789473453058E-07,-3.21879476053616E-09,4.50780078774707E-07,0,0,0,0,0,0,package://nanohand/meshes/thumb1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/thumb1.STL,,5_Thumb3-1,Origin_thumb1,Axis_thumb1,thumb1,revolute,0.052447,-0.11537,0.020044,-0.21444,0.22667,-2.122,base_link,0,0,1,0,0,0,0,,,,,,,,
thumb2,2.77555756156289E-17,-0.0151117862384628,-0.0235782014369682,0,0,0,0.00737492988596595,7.54509795926668E-07,5.29395592033938E-23,1.98523347012727E-22,4.82288281617105E-07,-5.1139313390611E-09,4.51281270610661E-07,0,0,0,0,0,0,package://nanohand/meshes/thumb2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/thumb2.STL,,5_Thumb-1,Origin_thumb2,Axis_thumb2,thumb2,revolute,0,0.008,0.018883,0.060075,0,0,thumb1,1,0,0,0,0,0,0,,,,,,,,
thumb3,-1.85699822627255E-05,-0.0587513005516435,-0.0213119092513232,0,0,0,0.00737492988596595,7.54509768750541E-07,-8.59919874369817E-11,-1.53596468502585E-12,4.82409815028313E-07,-4.72969158077779E-09,4.5115976437558E-07,0,0,0,0,0,0,package://nanohand/meshes/thumb3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/thumb3.STL,,5_Thumb4-1,Origin_thumb3,Axis_thumb3,thumb3,revolute,0,0.043898,-0.0029931,-0.012343,0,0.00031601,thumb2,1,-0.00031603,0,0,0,0,0,,,,,,,,
thumb4,-0.000186670943177036,-0.0984610459523556,-0.00873188514543979,0,0,0,0.00737492988596595,7.54508812500492E-07,-5.18759201414355E-10,-1.56898993081961E-11,4.8086331796225E-07,-8.26638248124643E-09,4.52707217691692E-07,0,0,0,0,0,0,package://nanohand/meshes/thumb4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/thumb4.STL,,5_Thumb2-1,Origin_thumb4,Axis_thumb4,thumb4,revolute,1.202E-05,0.037987,-0.00099966,0.11851,-0.00022407,0.0015664,thumb3,1,-0.0018961,0,0,0,0,0,,,,,,,,
index1,0.0873577767461267,0.0167105947390875,-0.0281296878376143,0,0,0,0.00737492988596595,4.57850559841742E-07,1.48227584435487E-08,-4.17720718087652E-08,5.3477591602921E-07,-1.05824749336271E-07,6.95452872283481E-07,0,0,0,0,0,0,package://nanohand/meshes/index1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/index1.STL,,2_Index_Finger4-1,Origin_index1,Axis_index1,index1,revolute,0.073374,-0.096731,0.10432,0.60813,1.4028,2.1137,base_link,0,0,1,0,0,0,0,,,,,,,,
index2,-0.0167105947390876,-0.0883828827104432,0.0263152999033027,0,0,0,0.00737492988596595,5.34775916029211E-07,7.64481637343229E-09,-1.0658399749764E-07,4.53306307562321E-07,-2.53876132101547E-08,6.99997124562901E-07,0,0,0,0,0,0,package://nanohand/meshes/index2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/index2.STL,,2_Index_Finger-1,Origin_index2,Axis_index2,index2,revolute,-0.0026,0,-0.0078411,-3.074,0,-1.5708,index1,1,0,0,0,0,0,0,,,,,,,,
index3,-0.0167105947390877,-0.137527215586396,0.0219054538039989,0,0,0,0.00737492988596595,5.34775916029211E-07,1.36693668340335E-08,-1.05979904464559E-07,4.56968935843955E-07,-3.91746451387225E-08,6.96334496281267E-07,0,0,0,0,0,0,package://nanohand/meshes/index3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/index3.STL,,2_Index_Finger2-1,Origin_index3,Axis_index3,index3,revolute,0,0.047683,-0.0033444,-0.056669,0,0,index2,1,0,0,0,0,0,0,,,,,,,,
index4,-0.0167105947390875,-0.170254159111483,0.0320030555654413,0,0,0,0.00737492988596595,5.34775916029211E-07,8.71468237749917E-09,-1.06501859378227E-07,4.53841009391245E-07,-2.78594872438728E-08,6.99462422733978E-07,0,0,0,0,0,0,package://nanohand/meshes/index4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/index4.STL,,2_Index_Finger3-1,Origin_index4,Axis_index4,index4,revolute,0,0.034034,-0.0021271,0.046628,0,0,index3,1,0,0,0,0,0,0,,,,,,,,
middle1,0.0919094663121743,0.00294538538503542,-0.0278842257624429,0,0,0,0.00737492988596595,4.58347549861727E-07,1.47843734520022E-08,-3.97738295543769E-08,5.52823413964487E-07,-1.18515555580097E-07,6.7690838432822E-07,0,0,0,0,0,0,package://nanohand/meshes/middle1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://nanohand/meshes/middle1.STL,,1_Fore_Finger4-1,Origin_middle1,Axis_middle1,middle1,revolute,0.050878,-0.093046,0.11025,0.072879,1.4644,1.6441,base_link,0,0,1,0,0,0,0,,,,,,,,
