Part Name,Quantity,Material,Description
Bearing Cap,1,MJF,3D printed part
Clamp Key,1,MJF,3D printed part
Wrist Mount,1,MJF,3D printed part
Rack and Clamps,1,MJF,3D printed part
Clamp Housing,1,MJF,3D printed part
Motor Housing,1,MJF,3D printed part
Clamp Housing Bottom,1,MJF,3D printed part
Wrist Outside Gear,1,MJF,3D printed part
Clamp Drive Gear,1,MJF,3D printed part
Wrist Drive Gear,1,MJF,3D printed part
Clamp Motor Gear,1,MJF,3D printed part
DS3225 Servo Gripper,2,N/A,25kg servo for gripper
"3mm Stainless Rod, 25mm",1,N/A,Rod cut to length
8x22x7mm Bearing,1,N/A,Standard bearing
"#6 x 3/8"" Phillips Pan Head Self-Tapping Screw",14,N/A,Fastener
M3x8mm Machine Bolt,1,N/A,Wrist drive gear fastener
M3x6mm Machine Bolt,1,N/A,Clamp motor gear fastener
M3x8mm Nut,1,N/A,Fastener for wrist drive gear
M3x16mm Machine Bolt,4,N/A,Wrist outside gear to wrist mount
