Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0854193898396176,0.134538304958245,0.209909588594394,0,0,0,0.430246803800934,0.00022148040235408,6.06667549154858E-06,-1.9980896072234E-06,0.000411086009467728,2.48854714166151E-07,0.000254680783453991,0,0,0,0,0,0,package://hand_q/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hand_q/meshes/base_link.STL,,91290A012 M2 L5 socket-5;dynamixel XM-430-4;dynamixel XM-430-2;91290A012 M2 L5 socket-1;dynamixel XM-430-3;3434T31 - nylon pulley-1;91290A012 M2 L5 socket-2;93330A483 8-32 L2 standoff-4;91290A012 M2 L5 socket-4;93330A483 8-32 L2 standoff-1;93330A483 8-32 L2 standoff-2;horn2-1;gear_motor-1;93330A483 8-32 L2 standoff-3;92210A197 8-32 L3-4 countersunk-4;92210A197 8-32 L3-4 countersunk-2;92210A197 8-32 L3-4 countersunk-1;92210A197 8-32 L3-4 countersunk-3;91290A012 M2 L5 socket-3;horn2-2;92210A197 8-32 L3-4 countersunk-8;92210A197 8-32 L3-4 countersunk-7;92210A197 8-32 L3-4 countersunk-6;92210A197 8-32 L3-4 countersunk-5;97395A435 D1-8 L3-8-2;bottom_reroute-1;97395A435 D1-8 L3-8-1;pulley_block_half-2;97395A435 D1-8 L3-8-3;bottom_brace_insertv2-1;bottom_no_bridge-1;pulley_block_half-1;dynamixel XM-430-1;mid_clamp-1;asm_upper_hand-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_0,-0.00803876734579555,0.00360945058301582,-0.0253890249354002,0,0,0,0.010383045747695,4.24623854823421E-06,-1.48973985863703E-09,1.20936263788371E-08,4.22574695696453E-06,8.57963323843325E-08,5.48608535744533E-07,0,0,0,0,0,0,package://hand_q/meshes/l_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/l_0.STL,,Combine2-2,Origin_l_0,Axis_l_0,l_0,revolute,0.077681,-0.24885,0.18499,1.5708,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
l_1,-0.00810194475727061,0.00744499588308023,-0.0227726136907112,0,0,0,0.00675859262101901,1.05655558242786E-06,9.60479427261807E-14,-1.4868469826721E-13,9.25076170731692E-07,3.11597883692222E-07,4.51236698923876E-07,0,0,0,0,0,0,package://hand_q/meshes/l_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/l_1.STL,,Combine1-2,Origin_l_1,Axis_l_1,l_1,revolute,0.00010195,0.0035877,-0.062695,0,0,0,l_0,1,0,0,0,0,0,0,,,,,,,,
r_0,0.00796123265420454,0.00360945058300913,-0.0253890249354316,0,0,0,0.010383045747695,4.24623854823422E-06,-1.48973985863729E-09,1.20936263788375E-08,4.22574695696454E-06,8.57963323843312E-08,5.48608535744537E-07,0,0,0,0,0,0,package://hand_q/meshes/r_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/r_0.STL,,Combine2-1,Origin_r_0,Axis_r_0,r_0,revolute,0.077381,-0.17085,0.18499,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
r_1,0.00808521415839183,0.00744499588309758,-0.0227726136906791,0,0,0,0.00675859262101901,1.05655558242786E-06,9.60479427650866E-14,-1.48684698375842E-13,9.25076170731695E-07,3.11597883692223E-07,4.51236698923876E-07,0,0,0,0,0,0,package://hand_q/meshes/r_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/r_1.STL,,Combine1-1,Origin_r_1,Axis_r_1,r_1,revolute,-8.5214E-05,0.0035877,-0.062695,0,0,0,r_0,1,0,0,0,0,0,0,,,,,,,,
mid,-1.46470638950902E-08,4.27939489400231E-10,-0.0116289852910508,0,0,0,0.0332273732342647,5.25893092175926E-06,1.00051713667633E-12,-3.31833125809215E-12,8.84150936228128E-06,2.13182393727308E-13,1.31169801317789E-05,0,0,0,0,0,0,package://hand_q/meshes/mid.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/mid.STL,,gear_main-1;Cut-Extrude3[5]-1;top_inner-3,Origin_mid,Axis_mid,mid,revolute,0.085544,-0.20985,0.15577,-3.1416,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
mid_l_0,0.00800000003440093,0.0222388159888208,0.0226773617835121,0,0,0,0.00902341368205649,2.3873790102051E-06,3.80620398966368E-15,4.95150352123279E-15,1.41108154460574E-06,-9.30432561000366E-07,1.39944983152383E-06,0,0,0,0,0,0,package://hand_q/meshes/mid_l_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/mid_l_0.STL,,Combine7-2,Origin_mid_l_0,Axis_mid_l_0,mid_l_0,revolute,-0.025156,-0.008,-0.024072,-1.0472,0,1.5708,mid,1,0,0,0,0,0,0,,,,,,,,
mid_l_1,0.00800000000453871,0.0127983791323907,0.0200677748941322,0,0,0,0.00676755226775371,1.05678287465645E-06,1.85247002011785E-16,4.13330363842989E-16,7.45718379960227E-07,-3.86160102863567E-07,6.32645343032356E-07,0,0,0,0,0,0,package://hand_q/meshes/mid_l_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/mid_l_1.STL,,Combine5-2,Origin_mid_l_1,Axis_mid_l_1,mid_l_1,revolute,0,0.043933,0.045016,-0.5236,0,0,mid_l_0,1,0,0,0,0,0,0,,,,,,,,
mid_r_0,-0.00799999996559911,0.00851976340092159,-0.0305980604881623,0,0,0,0.00902341368205649,2.3873790102051E-06,2.3850263414958E-15,-5.77202290133794E-15,2.20813599412883E-06,4.70252960009427E-07,6.02395382000739E-07,0,0,0,0,0,0,package://hand_q/meshes/mid_r_0.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/mid_r_0.STL,,Combine7-1,Origin_mid_r_0,Axis_mid_r_0,mid_r_0,revolute,0.025156,-0.008,-0.024072,1.0472,0,-1.5708,mid,1,0,0,0,0,0,0,,,,,,,,
mid_r_1,-0.00799999999546133,-0.0127983791323908,-0.0200677748941322,0,0,0,0.00676755226775371,1.05678287465646E-06,-1.85247062232204E-16,-4.13330257775525E-16,7.4571837996023E-07,-3.86160102863569E-07,6.32645343032354E-07,0,0,0,0,0,0,package://hand_q/meshes/mid_r_1.STL,1,1,1,1,0,0,0,0,0,0,package://hand_q/meshes/mid_r_1.STL,,Combine5-1,Origin_mid_r_1,Axis_mid_r_1,mid_r_1,revolute,0,0.017018,-0.060555,0.5236,0,0,mid_r_0,1,0,0,0,0,0,0,,,,,,,,
